offset,component_1,component_2,component_3,component_4,component_5
286,-0.020123626373212602,0.008778942380540378,0.014894372448017636,-0.013010285984646708,0.0031271196848484703
288,0.0029778092817231944,-0.00270215852494287,0.021038055494571703,-0.007507344068355373,0.0032246019377245656
290,-0.0028951857115667736,-0.0042178516775323825,-0.005540338254886797,0.033780991811800956,-0.016529457257452727
292,-8.609071918639121e-05,0.022246048133196025,-0.008944893214595954,0.006384602548226931,-0.043932207704586
294,-0.02100753305949384,0.008320110368732229,-0.0021940173906445748,-0.01117144577168994,0.0010154399742286098
296,-0.03557847503092653,-0.03758742865896309,0.0025288704875855495,-0.011957579062698839,0.005600227657006311
298,-0.022227764759114997,-0.0013740055132154083,-0.01603462114666703,0.0004875169849740923,-0.022850412573931875
300,-0.018222668414556168,0.011914884997997479,-0.009959018539302169,0.009574363749867825,-0.017519600792086993
302,0.004297125120016619,-0.006595025347725265,-0.0047421490439722965,0.0031928672374608416,-0.001211606101058693
304,0.01606600277259127,0.0060499084023269405,0.01536294050838131,-0.0036733241021488974,0.00987363252168568
306,0.0013603769878034995,-0.01545889978025478,-0.004325505164524916,-0.015551523118903829,0.002132090795726663
308,0.008396979238147638,0.001147207810903033,0.0009170940601458461,-0.017353772739502057,0.023848608483111055
310,0.018362192033198402,-0.014923286782513596,0.0009530767086394799,-0.010895530987993052,-0.012798487809692711
312,-0.012337350812247527,0.005405118005695762,-0.013445977696825678,0.0008802969199003438,0.013572845804118926
314,0.009827181431899408,0.012320975060370122,0.002214683608073766,-0.036424682035424684,0.011085000063198413
316,-0.015899635657482064,-0.006645699449477951,0.013749087095807513,0.0015691304421943555,0.017323924834984048
318,-0.009442559200905604,-0.0068126492237718704,-0.0059662827407374235,0.0065242761712039875,-0.0014025124255129182
320,-0.004949148580919823,0.007315743973456603,-0.020668234228605073,0.019217629400187917,0.013855072537453484
322,0.021839723339857814,-0.005840911665686107,0.01938341516271391,0.01652621832118961,0.016194305273066093
